Time ,dt = 250,dt = 500 ,dt = 1000,dt = 2000
0,0,0,0,0
250,0.00601894,,,
500,0.0340425,0.0911329,,
750,0.106187,,,
1000,0.242958,0.388284,0.604024,
1250,0.457347,,,
1500,0.752959,0.943682,,
1750,1.1253,,,
2000,1.56441,1.73501,1.96316,2.19679
2250,2.05759,,,
2500,2.59148,2.69775,,
2750,3.15341,,,
3000,3.73215,3.75863,3.7979,
3250,4.31823,,,
3500,4.9039,4.85461,,
3750,5.48307,,,
4000,6.05106,5.93906,5.76841,5.52223
4250,6.60437,,,
4500,7.14053,6.98117,,
4750,7.65781,,,
5000,8.15516,7.96267,7.64586,
5250,8.63198,,,
5500,9.08808,8.87429,,
5750,9.52354,,,
6000,9.93866,9.71284,9.31982,8.70851
6250,10.3339,,,
6500,10.7098,10.4789,,
6750,11.067,,,
7000,11.4063,11.1755,10.7572,
7250,11.7283,,,
7500,12.0338,11.8066,,
7750,12.3235,,,
8000,12.5981,12.3772,11.9651,11.2566
8250,12.8584,,,
8500,13.1051,12.8921,,
8750,13.3387,,,
9000,13.5601,13.3562,12.9677,
9250,13.7698,,,
9500,13.9684,13.7742,,
9750,14.1564,,,
10000,14.3345,14.1504,13.7938,13.1364
